date ortp no3 silica temp light chla phyto micro osci sce syn clad daph
32509 0.023177 0.978176 3.282 6.51 32.5125 0.006105 0.20736889586891127 48 0 899 0 0.19018 6.6563
32510 0.024059 0.970059 3.414 6.47 127.35 0.005563 0.2069445011870363 50 0 882 0 0.19031 6.66085
32511 0.024941 0.961941 3.545 6.43 120.825 0.005022 0.2065200482513558 53 0 864 0 0.19044 6.6654
32512 0.025824 0.953824 3.677 6.39 128.3625 0.00448 0.20609559531567534 56 0 847 0 0.19057 6.66995
32513 0.026706 0.945706 3.809 6.35 129.2625 0.003939 0.20563958372190366 58 0 830 0 0.19071 6.67485
32514 0.027588 0.937588 3.94 6.31 124.3125 0.003397 0.2051716821241853 61 0 813 0 0.19084 6.6794
32515 0.028471 0.929471 4.072 6.27 73.0125 0.002856 0.20469893797547986 64 0 796 0 0.19097 6.68395
32516 0.029353 0.921353 4.203 6.23 13.95 0.002314 0.20422135127578733 66 0 779 0 0.1911 6.6885
32517 0.030235 0.913235 4.335 6.19 27.3375 0.001773 0.2037389220251077 69 0 762 0 0.19124 6.6934
32518 0.031118 0.905118 4.467 6.14 47.7 0.001231 0.20325165022344102 72 0 745 0 0.19137 6.69795
32519 0.032 0.897 4.598 6.1 107.8875 0.00069 0.20275953587078724 69 0 728 0 0.1915 6.7025
32520 0.030889 0.905407 4.73 6.06 19.9125 0.001306 0.20226257896714636 66 0 706 0 0.18587 6.50545
32521 0.029778 0.913815 4.78 6.02 46.35 0.001921 0.2017607795125184 64 0 684 0 0.18024 6.3084
32522 0.028667 0.922222 4.829 5.98 33.525 0.002537 0.20125413750690335 61 0 663 0 0.17461 6.11135
32523 0.027556 0.93063 4.879 5.94 128.1375 0.003152 0.20074265295030122 58 0 641 0 0.16898 5.9143
32524 0.026444 0.939037 4.928 5.9 89.55 0.003768 0.20022632584271202 56 0 620 0 0.16335 5.71725
32525 0.025333 0.947444 4.978 5.99 95.4 0.004383 0.1997051561841357 53 0 598 0 0.15772 5.5202
32526 0.024222 0.955852 5.027 6.09 59.9625 0.004999 0.19917914397457231 50 0 577 0 0.15209 5.32315
32527 0.023111 0.964259 5.077 6.18 17.8875 0.005614 0.19864828921402186 48 0 555 0 0.14646 5.1261
32528 0.022 0.972667 5.126 6.27 134.55 0.00623 0.19821491049768541 45 0 534 0 0.14083 4.92905
32529 0.020889 0.981074 5.176 6.37 137.7 0.006846 0.19793758860433353 42 0 512 0 0.1352 4.732
32530 0.019778 0.989481 5.225 6.46 20.25 0.007461 0.1977222855840082 40 0 490 0 0.12957 4.53495
32531 0.018667 0.997889 5.275 6.55 148.3875 0.008077 0.1975690014367094 37 0 469 0 0.12394 4.3379
32532 0.017556 1.006296 5.324 6.65 134.6625 0.008692 0.19747773616243716 34 0 447 0 0.11831 4.14085
32533 0.016444 1.014704 5.374 6.74 53.6625 0.009308 0.19744848976119142 32 0 426 0 0.11269 3.94415
32534 0.015333 1.023111 5.423 6.84 101.475 0.009923 0.1975197824081386 29 0 404 0 0.10706 3.7471
32535 0.014222 1.031519 5.473 6.93 153.5625 0.010539 0.197699603496487 26 0 383 0 0.10143 3.55005
32536 0.013111 1.039926 5.522 7.02 154.125 0.011154 0.19796259286770843 24 0 361 0 0.0958 3.353
32537 0.012 1.048333 5.572 7.12 155.8125 0.01177 0.19830875052180286 21 0 340 0 0.09017 3.15595
32538 0.010889 1.056741 5.621 7.21 136.2375 0.012386 0.19873807645877034 18 0 318 0 0.08454 2.9589
32539 0.009778 1.065148 5.671 7.3 34.2 0.013001 0.19925057067861085 16 0 296 0 0.07891 2.76185
32540 0.008667 1.073556 5.72 7.4 127.8 0.013617 0.19986254482098065 13 0 275 0 0.07328 2.5648
32541 0.007556 1.081963 5.77 7.49 164.3625 0.014232 0.20057296269588787 10 0 253 0 0.06765 2.36775
32542 0.006444 1.09037 5.819 7.58 159.8625 0.014848 0.2013742453380093 8 0 232 0 0.06202 2.1707
32543 0.005333 1.098778 5.869 7.68 162.225 0.015463 0.20226639274734493 5 0 210 0 0.05639 1.97365
32544 0.004222 1.107185 5.918 7.77 148.05 0.016079 0.20324940492389476 2 0 189 0 0.05076 1.7766
32545 0.003111 1.115593 5.968 7.86 166.05 0.016694 0.20432328186765877 0 0 167 0 0.04513 1.57955
32546 0.002 1.124 6.018 7.96 54.3375 0.01731 0.2055038260461286 0 0 146 0 0.0395 1.3825
32547 0.002 1.117774 6.067 8.05 51.075 0.017206 0.20678672883811733 0 0 141 1 0.03878 1.3573
32548 0.002 1.111548 6.082 8.15 23.85 0.017102 0.20816701452240194 0 0 136 2 0.03807 1.33245
32549 0.002 1.105323 6.097 8.24 180.7875 0.016998 0.20964468309898243 0 0 131 3 0.03735 1.30725
32550 0.002 1.099097 6.112 8.33 165.15 0.016895 0.2112197345678588 0 0 126 4 0.03663 1.28205
32551 0.002 1.092871 6.127 8.43 145.2375 0.016791 0.2128921689290311 0 0 121 6 0.03592 1.2572
32552 0.002 1.086645 6.143 8.52 180.1125 0.016687 0.21471290033351192 0 0 116 7 0.0352 1.232
32553 0.002 1.080419 6.158 8.61 171 0.016583 0.2166787070150761 0 0 111 8 0.03448 1.2068
32554 0.002 1.074194 6.173 8.71 64.4625 0.016479 0.21876671685891555 0 0 107 9 0.03377 1.18195
32555 0.002 1.067968 6.188 8.8 20.1375 0.016375 0.22095876940756784 0 0 102 10 0.03305 1.15675
32556 0.002 1.061742 6.203 8.98 40.725 0.016271 0.22329280591157566 0 0 97 12 0.03233 1.13155
32557 0.002 1.055516 6.218 9.16 188.775 0.016167 0.22596825867158288 0 0 92 13 0.03162 1.1067
32558 0.002 1.04929 6.233 9.35 69.525 0.016064 0.22884543347915398 0 0 87 14 0.0309 1.0815
32559 0.002 1.043065 6.248 9.53 108.225 0.01596 0.23192433033428903 0 0 82 15 0.03018 1.0563
32560 0.002 1.036839 6.263 9.71 87.525 0.015856 0.23520494923698795 0 0 77 16 0.02947 1.03145
32561 0.002 1.030613 6.278 9.89 162.9 0.015752 0.23872056308305825 0 0 73 18 0.02875 1.00625
32562 0.002 1.024387 6.294 10.07 32.0625 0.015648 0.24248191515414433 0 0 68 19 0.02803 0.98105
32563 0.002 1.018161 6.309 10.25 26.775 0.015544 0.2464680790912538 0 0 63 20 0.02732 0.9562
32564 0.002 1.011935 6.324 10.44 125.2125 0.01544 0.2506790548943867 0 0 58 21 0.0266 0.931
32565 0.002 1.00571 6.339 10.62 190.575 0.015336 0.25511484256354294 0 0 53 22 0.02588 0.9058
32566 0.002 0.999484 6.354 10.8 62.1 0.015233 0.2600384164515705 0 0 48 24 0.02517 0.88095
32567 0.002 0.993258 6.369 10.98 50.175 0.015129 0.2652845984223164 0 0 43 25 0.02445 0.85575
32568 0.002 0.987032 6.384 11.16 38.3625 0.015025 0.2708511459209857 0 0 38 26 0.02373 0.83055
32569 0.002 0.980806 6.399 11.35 208.8 0.014921 0.27673805894757836 0 0 34 27 0.02302 0.8057
32570 0.002 0.974581 6.414 11.53 120.825 0.014817 0.28292365679831444 0 0 29 28 0.0223 0.7805
32571 0.002 0.968355 6.429 11.71 97.65 0.014713 0.2893846883707685 0 0 24 30 0.02158 0.7553
32572 0.002 0.962129 6.444 11.89 32.7375 0.014609 0.29614529400421685 0 0 19 31 0.02087 0.73045
32573 0.002 0.955903 6.46 12.07 149.625 0.014505 0.3032054736986597 0 0 14 32 0.02015 0.70525
32574 0.002 0.949677 6.475 12.25 37.6875 0.014402 0.3105652274540969 0 0 9 33 0.01943 0.68005
32575 0.002 0.943452 6.49 12.44 85.05 0.014298 0.31854110740567965 0 0 4 34 0.01872 0.6552
32576 0.002 0.937226 6.505 12.62 222.525 0.014194 0.3270579848571158 0 0 0 36 0.018 0.63
32577 0.002 0.931 6.52 12.8 226.575 0.01409 0.3359578236772201 0 0 12 34 0.02003 0.70105
32578 0.002242 0.940242 6.535 12.98 202.725 0.013966 0.3452494333655228 0 0 25 33 0.02206 0.7721
32579 0.002485 0.949485 6.539 13.16 195.6375 0.013842 0.3549250612490442 0 0 38 32 0.02409 0.84315
32580 0.002727 0.958727 6.543 13.35 133.65 0.013718 0.36499443268470144 0 0 51 31 0.02612 0.9142
32581 0.00297 0.96797 6.547 13.53 199.2375 0.013594 0.37545754767249445 0 0 64 30 0.02815 0.98525
32582 0.003212 0.977212 6.551 13.71 227.1375 0.01347 0.3863027947624952 0 0 77 29 0.03018 1.0563
32583 0.003455 0.986455 6.554 13.89 135.675 0.013346 0.397529169772087 0 0 89 28 0.03221 1.12735
32584 0.003697 0.995697 6.558 14.07 241.65 0.013222 0.40914402374371645 0 0 102 27 0.03424 1.1984
32585 0.003939 1.004939 6.562 14.25 225.45 0.013098 0.42114735667738346 0 0 115 26 0.03626 1.2691
32586 0.004182 1.014182 6.566 14.44 245.8125 0.012975 0.43353916857308816 0 0 128 25 0.03829 1.34015
32587 0.004424 1.023424 6.57 14.62 226.575 0.012851 0.44631945943083046 0 0 141 24 0.04032 1.4112
32588 0.004667 1.032667 6.574 14.8 117.9 0.012727 0.45948822925061034 0 0 154 23 0.04235 1.48225
32589 0.004909 1.041909 6.578 14.94 167.2875 0.012603 0.47303073550305824 0 0 167 22 0.04438 1.5533
32590 0.005152 1.051152 6.582 15.08 40.3875 0.012479 0.48694504772723135 0 0 179 21 0.04641 1.62435
32591 0.005394 1.060394 6.585 15.22 218.7 0.012355 0.5012430241705306 0 0 192 20 0.04844 1.6954
32592 0.005636 1.069636 6.589 15.36 232.2 0.012231 0.5159246648329558 0 0 205 19 0.05047 1.76645
32593 0.005879 1.078879 6.593 15.5 88.875 0.012107 0.5309899697145073 0 0 218 18 0.0525 1.8375
32594 0.006121 1.088121 6.597 15.64 45.3375 0.011983 0.5464389388151849 0 0 231 16 0.05453 1.90855
32595 0.006364 1.097364 6.601 15.78 232.2 0.011859 0.5622715721349885 0 0 244 15 0.05656 1.9796
32596 0.006606 1.106606 6.605 15.91 257.2875 0.011735 0.5784878696739183 0 0 257 14 0.05859 2.05065
32597 0.006849 1.115848 6.609 16.05 69.1875 0.011611 0.5950878314319741 0 0 269 13 0.06062 2.1217
32598 0.007091 1.125091 6.613 16.19 247.05 0.011487 0.6120714574091561 0 0 282 12 0.06265 2.19275
32599 0.007333 1.134333 6.617 16.33 267.525 0.011363 0.6294387476054641 0 0 295 11 0.06468 2.2638
32600 0.007576 1.143576 6.62 16.47 70.875 0.011239 0.6496725132403433 0 0 308 10 0.06671 2.33485
32601 0.007818 1.152818 6.624 16.61 253.9125 0.011115 0.6750033067243244 0 0 321 9 0.06874 2.4059
32602 0.008061 1.162061 6.628 16.75 90.675 0.010992 0.7017919151794879 0 0 334 8 0.07076 2.4766
32603 0.008303 1.171303 6.632 16.89 251.55 0.010868 0.7294718181952031 0 0 347 7 0.07279 2.54765
32604 0.008546 1.180545 6.636 17.03 219.4875 0.010744 0.7580890382517564 0 0 359 6 0.07482 2.6187
32605 0.008788 1.189788 6.64 17.17 89.325 0.01062 0.7876175839581134 0 0 372 5 0.07685 2.68975
32606 0.00903 1.19903 6.644 17.31 232.875 0.010496 0.8180274774155905 0 0 385 4 0.07888 2.7608
32607 0.009273 1.208273 6.648 17.45 95.625 0.010372 0.8493441141636862 0 0 398 3 0.08091 2.83185
32608 0.009515 1.217515 6.651 17.59 103.3875 0.010248 0.8815704647353115 0 0 411 2 0.08294 2.9029
32609 0.009758 1.226758 6.655 17.73 120.4875 0.010124 0.9147065101361227 0 0 424 1 0.08497 2.97395
32610 0.01 1.236 6.659 17.86 174.6 0.01 0.9487510778115774 0 0 437 0 0.087 3.045
32611 0.009679 1.21 6.663 18 238.6125 0.011861 0.9837041677616755 0 0 504 46 0.08395 2.93825
32612 0.009357 1.184 6.482 18.14 156.375 0.013721 1.020067295367599 0 0 572 93 0.08089 2.83115
32613 0.009036 1.158 6.302 18.28 158.4 0.015582 1.0591022634308243 0 0 639 140 0.07784 2.7244
32614 0.008714 1.132 6.121 18.42 292.8375 0.017443 1.0999975709944687 0 0 707 187 0.07479 2.61765
32615 0.008393 1.106 5.941 18.56 267.525 0.019304 1.1421524072802638 0 0 775 233 0.07173 2.51055
32616 0.008071 1.08 5.76 18.7 268.875 0.021164 1.185585878828277 0 0 842 280 0.06868 2.4038
32617 0.00775 1.054 5.579 18.76 256.725 0.023025 1.2298696031002014 0 0 910 327 0.06562 2.2967
32618 0.007429 1.028 5.399 18.83 279 0.024886 1.2750281154469016 0 0 977 374 0.06257 2.18995
32619 0.007107 1.002 5.218 18.89 167.625 0.026746 1.3208108777038359 0 0 1045 421 0.05952 2.0832
32620 0.006786 0.976 5.038 18.96 61.65 0.028607 1.367184542880734 0 0 1113 467 0.05646 1.9761
32621 0.006464 0.95 4.857 19.02 75.15 0.030468 1.413960495565342 0 0 1180 514 0.05341 1.86935
32622 0.006143 0.924 4.676 19.09 214.0875 0.032329 1.4611829440349915 0 0 1248 561 0.05036 1.7626
32623 0.005821 0.898 4.496 19.15 186.3 0.034189 1.5087882229318412 0 0 1315 608 0.0473 1.6555
32624 0.0055 0.872 4.315 19.22 264.15 0.03605 1.55678367447448 0 0 1383 655 0.04425 1.54875
32625 0.005179 0.846 4.135 19.28 287.8875 0.037911 1.6051554893572386 0 0 1451 701 0.0412 1.442
32626 0.004857 0.82 3.954 19.35 279.675 0.039771 1.65389984722584 0 0 1518 748 0.03814 1.3349
32627 0.004536 0.794 3.773 19.41 297.7875 0.041632 1.7029983264770248 0 0 1586 795 0.03509 1.22815
32628 0.004214 0.768 3.593 19.48 112.05 0.043493 1.752437592659698 0 0 1653 842 0.03204 1.1214
32629 0.003893 0.742 3.412 19.54 285.1875 0.045354 1.8022103150522242 0 0 1721 888 0.02898 1.0143
32630 0.003571 0.716 3.232 19.61 118.0125 0.047214 1.852301346834177 0 0 1789 935 0.02593 0.90755
32631 0.00325 0.69 3.051 19.67 263.1375 0.049075 1.9026968983281463 0 0 1856 982 0.02287 0.80045
32632 0.002929 0.664 2.87 19.74 228.2625 0.050936 1.953383812129218 0 0 1924 1029 0.01982 0.6937
32633 0.002607 0.638 2.69 19.8 105.525 0.052796 2.004348930832478 0 0 1991 1076 0.01677 0.58695
32634 0.002286 0.612 2.509 19.86 37.125 0.054657 2.055579097033012 0 0 2059 1122 0.01371 0.47985
32635 0.001964 0.586 2.328 19.93 208.35 0.056518 2.1070611533259065 0 0 2127 1169 0.01066 0.3731
32636 0.001643 0.56 2.148 19.99 176.4 0.058379 2.158781942306246 0 0 2194 1216 0.00761 0.26635
32637 0.001321 0.534 1.967 20.06 260.8875 0.060239 2.210730929998754 0 0 2262 1263 0.00455 0.15925
32638 0.001 0.508 1.787 20.12 35.8875 0.0621 2.262893285356407 0 0 2330 1310 0.0015 0.0525
32639 0.001029 0.493088 1.606 20.19 33.8625 0.063415 2.3152556436984946 0 0 2407 1406 0.00159 0.05565
32640 0.001059 0.478176 1.621 20.25 89.775 0.064729 2.3678048693514806 0 0 2484 1502 0.00168 0.0588
32641 0.001088 0.463265 1.635 20.32 301.6125 0.066044 2.4205278266418304 0 0 2561 1599 0.00176 0.0616
32642 0.001118 0.448353 1.649 20.38 215.775 0.067359 2.4734113798960085 0 0 2638 1695 0.00185 0.06475
32643 0.001147 0.433441 1.664 20.45 84.15 0.068674 2.5264423934404805 0 0 2715 1791 0.00194 0.0679
32644 0.001177 0.418529 1.678 20.51 182.25 0.069988 2.57960773160171 0 0 2792 1888 0.00203 0.07105
32645 0.001206 0.403618 1.693 20.58 181.9125 0.071303 2.632894258706163 0 0 2869 1984 0.00212 0.0742
32646 0.001235 0.388706 1.707 20.64 78.6375 0.072618 2.6862888390803037 0 0 2946 2080 0.00221 0.07735
32647 0.001265 0.373794 1.722 20.71 105.975 0.073932 2.739778337050597 0 0 3023 2177 0.00229 0.08015
32648 0.001294 0.358882 1.736 20.77 230.85 0.075247 2.7933496169435084 0 0 3100 2273 0.00238 0.0833
32649 0.001324 0.343971 1.751 20.84 68.5125 0.076562 2.846989543085502 0 0 3177 2369 0.00247 0.08645
32650 0.001353 0.329059 1.765 20.9 226.35 0.077876 2.900684979803043 0 0 3254 2466 0.00256 0.0896
32651 0.001382 0.314147 1.78 21.04 98.55 0.079191 2.9544227914225965 0 0 3331 2562 0.00265 0.09275
32652 0.001412 0.299235 1.794 21.17 36.9 0.080506 3.008189842270627 0 0 3408 2658 0.00274 0.0959
32653 0.001441 0.284324 1.809 21.31 283.95 0.081821 3.0619734608111706 0 0 3485 2755 0.00282 0.0987
32654 0.001471 0.269412 1.823 21.44 233.325 0.083135 3.1157612457063015 0 0 3562 2851 0.00291 0.10185
32655 0.0015 0.2545 1.838 21.58 259.65 0.08445 3.169539061662384 0 0 3640 2948 0.003 0.105
32656 0.001529 0.239588 1.852 21.71 268.0875 0.085765 3.223293775584022 0 0 3717 3044 0.00309 0.10815
32657 0.001559 0.224676 1.867 21.85 308.25 0.087079 3.2770122543758182 0 0 3794 3140 0.00318 0.1113
32658 0.001588 0.209765 1.881 21.99 300.4875 0.088394 3.330681364942377 0 0 3871 3237 0.00326 0.1141
32659 0.001618 0.194853 1.895 22.12 256.3875 0.089709 3.384287974188301 0 0 3948 3333 0.00335 0.11725
32660 0.001647 0.179941 1.91 22.26 258.8625 0.091024 3.4378189490181947 0 0 4025 3429 0.00344 0.1204
32661 0.001677 0.165029 1.924 22.39 310.275 0.092338 3.4912611563366607 0 0 4102 3526 0.00353 0.12355
32662 0.001706 0.150118 1.939 22.53 224.2125 0.093653 3.544601463048303 0 0 4179 3622 0.00362 0.1267
32663 0.001735 0.135206 1.953 22.66 207.675 0.094968 3.5978267360577245 0 0 4256 3718 0.00371 0.12985
32664 0.001765 0.120294 1.968 22.8 212.625 0.096282 3.6509238422695294 0 0 4333 3815 0.00379 0.13265
32665 0.001794 0.105382 1.982 22.94 294.1875 0.097597 3.7038796485883205 0 0 4410 3911 0.00388 0.1358
32666 0.001824 0.090471 1.997 23.07 69.8625 0.098912 3.7566810219187015 0 0 4487 4007 0.00397 0.13895
32667 0.001853 0.075559 2.011 23.21 69.8625 0.100226 3.8093148291652765 0 0 4564 4104 0.00406 0.1421
32668 0.001882 0.060647 2.026 23.34 93.2625 0.101541 3.8617679372326474 0 0 4641 4200 0.00415 0.14525
32669 0.001912 0.045735 2.04 23.48 332.1 0.102856 3.9140272130254194 0 0 4718 4296 0.00424 0.1484
32670 0.001941 0.030824 2.055 23.61 257.0625 0.104171 3.966079523448195 0 0 4795 4393 0.00432 0.1512
32671 0.001971 0.015912 2.069 23.75 324.7875 0.105485 4.017911735405578 0 0 4872 4489 0.00441 0.15435
