date t temp ph ox ortp nh4 no silica cod bod phyto chla chlor dyno chrys crip daph eudi cyc daph_lit light ortp_krivica ortp_misca ortp_radovna q_jezernica q_krivica q_misca q_radovna q_natega diat light_m
36217 730177 4.422204667 7.196932768 10.06932341 0.011109126 0.018009152 1.782253947 1.744343579 1.655251797 1.874094689 0.9226037383842204 0.006181072 0.008420287 0.359333074 0.010879644 0.099395761 0.00145946 0.928168487 6.014090574 0.051081094 156.8826 0.037796561 0.0977729 0.006673909 50457.6 1555.2 20304 38262.85714 10108.8 0.27387 105.16716
36218 730178 4.4138566 7.196568772 10.09819266 0.011069023 0.017675988 1.783967045 1.755430562 1.650243946 1.888825613 0.9380545087041343 0.006199644 0.008148048 0.36226369 0.011057286 0.099127194 0.00145348 0.927428121 6.054839233 0.050871811 158.5584 0.037598959 0.099444444 0.006389872 50457.6 1555.2 20304 38262.85714 10108.8 0.25627 85.48092
36219 730179 4.405937886 7.196225449 10.12699948 0.01103051 0.017356031 1.785594927 1.766078019 1.645434624 1.903263765 0.9543891766104668 0.006218507 0.007886602 0.365078126 0.011237812 0.098871781 0.001447835 0.926717105 6.09389247 0.050674241 160.2468 0.037401926 0.101025453 0.006125038 50457.6 1555.2 20304 38262.85714 10108.8 0.23937 96.18588
36220 730180 4.398448389 7.195902581 10.15573378 0.010993637 0.017049701 1.787137308 1.776271998 1.640830132 1.917397665 0.9712626298364323 0.006237661 0.007636291 0.367772695 0.01142124 0.09862959 0.001442522 0.926036372 6.131207652 0.050488278 161.9604 0.037206744 0.102495809 0.005881929 50457.6 1555.2 22636.8 34467.09677 14169.6 0.2232 131.95224
36221 730181 4.391387977 7.195599951 10.18438546 0.010958455 0.016757417 1.788593902 1.785998543 1.636436774 1.931215835 0.9858359245995798 0.006257109 0.007397457 0.370343707 0.011607586 0.098400687 0.001437538 0.925386853 6.166742149 0.050313814 163.674 0.037014694 0.103835391 0.005663061 50457.6 1555.2 22636.8 34467.09677 14169.6 0.20776 39.40403478
36222 730182 4.384756512 7.195317344 10.21294441 0.010925013 0.016479599 1.789964425 1.795243704 1.632260852 1.944706795 1.0021381723188183 0.006276852 0.007170444 0.372787475 0.011796868 0.09818514 0.001432878 0.92476948 6.200453328 0.050150746 165.4128 0.036827059 0.105024082 0.005470954 50457.6 1555.2 22636.8 34467.09677 14169.6 0.19309 190.9656
36223 730183 4.378553861 7.195054541 10.24140054 0.010893364 0.016216666 1.791248592 1.803993526 1.628308668 1.957859066 1.019377307353928 0.006296892 0.006955594 0.37510031 0.011989103 0.097983015 0.001428542 0.924185185 6.232298558 0.049998966 167.1642 0.036645122 0.106041762 0.005308128 61084.8 1555.2 22636.8 34467.09677 14169.6 0.1792 101.493
36224 730184 4.372779889 7.194811326 10.26974374 0.010863557 0.015969038 1.792446119 1.812234055 1.624586524 1.970661167 1.0370103400398745 0.00631723 0.006753249 0.377278525 0.012184308 0.097794379 0.001424525 0.923634899 6.262235207 0.049858368 168.9408 0.036470165 0.106868313 0.0051771 70156.8 2160 24969.6 34467.09677 14169.6 0.16613 125.2183418
36225 730185 4.36743446 7.194587482 10.29796391 0.010835643 0.015737133 1.793556719 1.81995134 1.621100724 1.983101621 1.0545302908488452 0.006337868 0.006563753 0.379318431 0.0123825 0.097619299 0.001420824 0.923119554 6.290220644 0.049728847 170.7174 0.036303471 0.107483615 0.005080391 80179.2 2851.2 18230.4 34467.09677 14169.6 0.15388 190.42128
36226 730186 4.362517441 7.194382792 10.32605096 0.010809671 0.015521371 1.794580109 1.827131426 1.61785757 1.995168947 1.071916660297782 0.006358807 0.006387447 0.381216339 0.012583695 0.097457842 0.001417437 0.922640083 6.316212236 0.049610297 172.5066 0.036146322 0.107867551 0.005020517 70156.8 2851.2 18230.4 34467.09677 14169.6 0.14249 144.6984
