time MX MY MZ PX PY PZ
0.0 0.0 0.0 0.0 5.0 0.0 15.0
1.0 0.1888270776186504 113.29012682037404 19.74825714038722 0.2067617947089005 85.0653875735814 24.03555188491977
2.0 0.8033917996704133 187.36387356664025 7.037830305098185 0.5668645703838694 180.39770352918725 8.794869602432172
3.0 6.520485555603589 109.45589086778097 2.5897100040372183 4.642141784979481 129.87711590628936 3.235346391300455
4.0 40.00494688504903 41.39252558502387 0.9728095756018633 30.170631254633776 51.552724472174894 1.2047414921952908
5.0 118.24449352506194 15.037656927466571 0.5109961051458156 101.96952247555714 18.790661380340353 0.5465607615987506
6.0 148.85418569288535 5.5273715984481235 1.508953486893884 150.46032138195375 6.907421396390328 1.1356981282838914
7.0 72.72041627989566 2.0370821777809036 10.58651868708705 88.13855199330048 2.5424931495584917 7.633092192867176
8.0 26.61268295593864 0.7803439809574416 55.92088732182002 33.20401154705566 0.9479393173526497 42.96738272927763
9.0 9.796930809724287 0.6866027210380572 130.65362628938135 12.241766383950939 0.6308191775551454 117.8433698818433
10.0 3.6089843467352836 3.4311125070978306 111.81391009741584 4.508985143427752 2.4876810768286597 124.08849919214639
11.0 1.345001253622276 23.123679609421725 45.07695095005282 1.6715746581333324 16.99229733257076 55.72222627680639
12.0 0.6264322898551351 89.06706373725557 16.68193882589394 0.7083745023199816 73.69581863188301 20.83555472672605
13.0 1.2880820185836783 136.44939780091232 6.144091096187486 1.008253973825942 133.21836574309822 7.677606140245356
14.0 8.588974823786998 73.55571513586266 2.2678209574352173 6.184761037877317 88.03607133412015 2.8308235592921354
15.0 48.3270649414473 27.73429129845433 0.8803055706013838 37.10854687967837 34.55650399766418 1.0743836311537522
16.0 121.59545222724817 10.222013106355902 0.6895253958327178 108.23057981691663 12.776115052818282 0.6545596555542863
17.0 112.12315554626647 3.7439481377584305 3.1639468037442353 122.781600337644 4.677632582649432 2.2893778296849745
18.0 45.86439238703703 1.3943880779154065 21.665491262142893 56.63528781948836 1.7336066337187384 15.870362269482255
19.0 16.979002477470267 0.6400171469003076 85.92359735503396 21.20292878675525 0.7278418083685914 70.7217976889398
20.0 6.037681565151822 1.31151966605315 136.227539024757 7.54455929516217 1.0149044676543337 132.78866917548024
21.0 2.2291139386510226 8.878720386431043 72.77427664175582 2.782364950828626 6.383158466391989 87.20154410597021
22.0 0.8674700249986823 49.518250704885816 27.36865910428554 1.0576183594101018 38.1069938355688 34.107489594443635
23.0 0.6943796786623677 122.64965066815004 10.085467669523894 0.6539195511048137 109.42942654142314 12.601387433779166
24.0 3.3085091759039194 112.22495967856767 3.6560586370600796 2.3830374473565765 123.3819665410769 4.56775153051681
25.0 22.57129648168704 45.375951498138726 1.3536156120973055 16.47113328529357 56.11490851296437 1.6825093457021607
26.0 88.3229933714885 16.77602333045218 0.6280940746052396 72.95169881694807 20.946729354340228 0.7113992865319076
27.0 139.30068135352386 6.053674264277882 1.2604511080304863 135.34675220993233 7.564595847615387 0.9680757688145596
28.0 75.76123635158285 2.2150555563590033 8.921392927928384 90.80694874104132 2.7651171074052976 6.383601793033977
29.0 28.452759975369037 0.8585879781581202 49.98423807542733 35.46884816602839 1.0486289578724775 38.46077090648941
30.0 10.485452663174144 0.6625783760876965 124.30581287406608 13.105429970500856 0.6317947902605041 110.7507747394469
