date t temp ph ox ortp nh4 no silica cod bod phyto chla chlor dyno chrys crip daph eudi cyc daph_lit light ortp_krivica ortp_misca ortp_radovna q_jezernica q_krivica q_misca q_radovna q_natega diat light_m
36606 730566 5.609299385 7.837607784 11.39557167 0.009321083 0.024636554 1.19502548 1.503087371 1.480107317 2.111763612 3.3749285593799745 0.008707715 0.092164018 0.0457683 0.608407842 0.06484419 0.001102804 0.088816764 2.426658619 0.038598156 200.6676 0.033024437 0.078758128 0.005021382 19267.2 950.4 13132.8 25885.16129 10108.8 2.1913 172.39068
36607 730567 5.75987321 7.840669698 11.65566661 0.009362337 0.024236503 1.177692067 1.458810107 1.496693488 2.172367734 3.539296008427373 0.008810323 0.089232907 0.046738501 0.670382995 0.06329191 0.001012376 0.084235199 2.275709427 0.035433163 202.608 0.033095599 0.07850829 0.005083649 16502.4 950.4 13132.8 25885.16129 10108.8 2.2839 39.55392
36608 730568 5.913421156 7.843874536 11.91187231 0.009405676 0.023838757 1.160283475 1.414331521 1.513646905 2.234835648 3.702629950065783 0.00891535 0.086278567 0.047760824 0.732551384 0.061771691 0.000923815 0.079658012 2.127877946 0.032333541 204.5484 0.033210265 0.078250978 0.005183982 16502.4 950.4 15465.6 25885.16129 10108.8 2.3741 160.4701685
36609 730569 6.069125949 7.847215676 12.16168255 0.00945103 0.023444659 1.142926183 1.369960075 1.530882348 2.299010037 3.8594931041144136 0.009022285 0.083321111 0.048834 0.794452668 0.060299563 0.000838056 0.075121573 1.984723032 0.029331973 206.5014 0.033365211 0.077986681 0.00531956 16502.4 950.4 15465.6 25885.16129 10108.8 2.4609 38.17044
36610 730570 6.226170313 7.850686494 12.40259111 0.009498328 0.023055554 1.12574667 1.326004231 1.548314599 2.364733582 4.00833920922322 0.00913062 0.080380653 0.049956759 0.855626509 0.058891557 0.000756033 0.070662255 1.847803541 0.026461145 208.4544 0.033557215 0.077715888 0.005487563 16502.4 950.4 15465.6 25885.16129 10108.8 2.5435 132.58728
36611 730571 6.383736975 7.854280369 12.63209178 0.009547502 0.022672784 1.108871413 1.282772451 1.565858438 2.431848965 4.168966846740544 0.009239845 0.077477305 0.051127832 0.915612565 0.057563703 0.000678678 0.066316428 1.718678328 0.023753741 210.4074 0.033783055 0.077439089 0.005685173 16502.4 950.4 15465.6 25885.16129 10108.8 2.621 139.52736
36612 730572 6.541008659 7.857990677 12.84767833 0.009598481 0.022297695 1.092426891 1.240573198 1.583428645 2.500198868 4.32400004601495 0.00934945 0.074631179 0.052345948 0.973950498 0.056332031 0.000606927 0.062120462 1.59890625 0.021242448 212.373 0.034039509 0.077156775 0.00590957 22550.4 1382.4 17884.8 25885.16129 10108.8 2.6927 128.5956
36613 730573 6.69716809 7.861810795 13.04684455 0.009651195 0.02193163 1.076539583 1.199714934 1.600940001 2.569625972 4.480576396014894 0.009458926 0.071862389 0.053609838 1.030179966 0.055212573 0.000541713 0.058110729 1.490046161 0.018959949 214.326 0.034323353 0.076869435 0.006157934 45100.8 2505.6 17884.8 25885.16129 10108.8 2.7575 272.18268
36614 730574 6.851397995 7.865734102 13.22708421 0.009705574 0.021575932 1.061335966 1.160506121 1.618307288 2.639972959 4.623807532917637 0.009567763 0.069191047 0.054918233 1.083840631 0.054221358 0.000483969 0.054323601 1.393656918 0.01693893 216.2916 0.034631365 0.076577559 0.006427445 53827.2 3283.2 20304 25885.16129 10108.8 2.8147 196.11396
36615 730575 7.002881098 7.869753974 13.38589111 0.009761549 0.021231947 1.046942519 1.123255221 1.635445286 2.711082511 4.746438743711494 0.009675453 0.066637265 0.056269862 1.134472152 0.053374417 0.000434631 0.050795447 1.311297376 0.015212075 218.2572 0.034960324 0.076281636 0.006715283 95904 2592 20304 25885.16129 10108.8 2.8635 203.91588
